HR,RA,DEC,RA_flt,DEC_flt,Vmag,B_V
1,00 05 09.9,+45 13 45,1.29125,45.22916666666667,6.7,0.07
2,00 05 03.8,-00 30 11,1.2658333333333334,-0.5030555555555556,6.29,1.1
3,00 05 20.1,-05 42 27,1.3337499999999998,-5.7075000000000005,4.61,1.04
4,00 05 42.0,+13 23 46,1.425,13.39611111111111,5.51,0.9
5,00 06 16.0,+58 26 12,1.5666666666666669,58.43666666666666,5.96,0.67
6,00 06 19.0,-49 04 30,1.5791666666666668,-49.075,5.7,0.52
7,00 06 26.5,+64 11 46,1.6104166666666668,64.19611111111111,5.59,-0.03
8,00 06 36.8,+29 01 17,1.6533333333333333,29.02138888888889,6.13,0.75
9,00 06 50.1,-23 06 27,1.70875,-23.1075,6.18,0.38
10,00 07 18.2,-17 23 11,1.8258333333333332,-17.386388888888888,6.19,0.14
11,00 07 44.1,-02 32 56,1.9337500000000003,-2.548888888888889,6.43,-0.14
12,00 07 46.8,-22 30 32,1.9450000000000003,-22.50888888888889,5.94,0.14
13,00 08 03.5,-33 31 46,2.0145833333333334,-33.529444444444444,5.68,1.12
14,00 08 12.1,-02 26 52,2.050416666666667,-2.447777777777778,6.07,1.38
15,00 08 23.3,+29 05 26,2.097083333333333,29.090555555555554,2.06,-0.11
16,00 08 17.4,-08 49 26,2.0725,-8.823888888888888,5.99,1.04
17,00 08 41.0,+36 37 36,2.1708333333333334,36.626666666666665,6.19,0.48
18,00 08 33.4,-17 34 39,2.1391666666666667,-17.5775,6.06,1.67
19,00 08 52.2,+25 27 46,2.2175000000000002,25.462777777777777,6.23,0.97
20,00 09 20.2,+79 42 53,2.334166666666667,79.71472222222222,6.01,0.19
21,00 09 10.7,+59 08 59,2.294583333333333,59.14972222222222,2.27,0.34
22,00 09 02.4,+18 12 43,2.2600000000000002,18.211944444444445,5.53,1.04
23,00 09 02.4,-54 00 07,2.2600000000000002,-54.00194444444445,6.33,0.74
24,00 09 21.0,-27 59 16,2.3375,-27.98777777777778,5.42,0.42
