time(sec),amplitude
0.000000000000000000e+00,5.920821682809505049e-01
1.200000000000000000e+02,1.038330720813204877e+00
2.400000000000000000e+02,-2.713289855929861272e+00
3.600000000000000000e+02,1.400383156366627135e+00
4.800000000000000000e+02,4.689844545208001314e+00
6.000000000000000000e+02,-7.682892518242898205e+00
7.200000000000000000e+02,-3.120197751945854137e+00
8.400000000000000000e+02,-1.977495787172049324e+00
9.600000000000000000e+02,-2.379447469708642515e+00
1.080000000000000000e+03,-4.745217844803367058e+00
1.200000000000000000e+03,4.119418653610771863e-01
1.320000000000000000e+03,-4.668511891708311268e+00
1.440000000000000000e+03,-1.061429389898977504e+00
1.560000000000000000e+03,-1.290758953231858852e+00
1.680000000000000000e+03,1.448555277908497363e+00
1.800000000000000000e+03,1.510292828733671988e-01
1.920000000000000000e+03,1.080158306893006070e+00
2.040000000000000000e+03,4.829569873050485462e+00
2.160000000000000000e+03,5.628675379230827502e-01
2.280000000000000000e+03,-9.949259226839354264e-01
2.400000000000000000e+03,3.841704250442961488e+00
2.520000000000000000e+03,-1.712951592397607081e+00
2.640000000000000000e+03,2.817460211772785161e+00
2.760000000000000000e+03,-1.931165034291842053e+00
2.880000000000000000e+03,8.386874498572380876e-01
3.000000000000000000e+03,-2.482611832276171882e+00
3.120000000000000000e+03,-3.917193793349583508e+00
3.240000000000000000e+03,9.360992515079505916e-01
3.360000000000000000e+03,3.466286814441361219e+00
3.480000000000000000e+03,-1.627259372193972764e+00
3.600000000000000000e+03,-3.665430870282108344e+00
3.720000000000000000e+03,-1.163562206673064203e+00
3.840000000000000000e+03,2.378399101409251593e+00
3.960000000000000000e+03,-4.739328804570296150e+00
4.080000000000000000e+03,2.342938363587105055e+00
4.200000000000000000e+03,-5.282797214835560418e+00
4.320000000000000000e+03,-5.755227843826685730e-01
4.440000000000000000e+03,-1.710752977160767907e+00
4.560000000000000000e+03,-1.442550197423716041e+00
4.680000000000000000e+03,-1.929444403650160123e+00
4.800000000000000000e+03,1.430369573593969879e+00
4.920000000000000000e+03,-1.037021947618442352e+00
5.040000000000000000e+03,-1.905136821083460497e+00
5.160000000000000000e+03,-3.199508296866870438e+00
5.280000000000000000e+03,-7.400325938924536828e-01
5.400000000000000000e+03,4.313970003778593743e+00
5.520000000000000000e+03,-5.138936464155510642e+00
5.640000000000000000e+03,-1.254223742442095224e+00
5.760000000000000000e+03,-1.576484671196980214e+00
5.880000000000000000e+03,3.021120993006247257e+00
