JDTDB,CalendarDate(TDB),X,Y,Z
2459969.500000000, A.D. 2023-Jan-25 00:00:00.0000,  3.791011291190191E+00,  2.347678006571295E+00, -6.250697480315386E-01
2460069.500000000, A.D. 2023-May-05 00:00:00.0000,  3.687241744527715E+00,  2.961089227910155E+00, -6.421177482416528E-01
2460169.500000000, A.D. 2023-Aug-13 00:00:00.0000,  3.483391560529936E+00,  3.492922393790439E+00, -6.410682679145664E-01
2460269.500000000, A.D. 2023-Nov-21 00:00:00.0000,  3.196548626056041E+00,  3.939364293292348E+00, -6.236429565550484E-01
2460369.500000000, A.D. 2024-Feb-29 00:00:00.0000,  2.840223877039589E+00,  4.296360915071298E+00, -5.906124763018964E-01
2460469.500000000, A.D. 2024-Jun-08 00:00:00.0000,  2.425618456975822E+00,  4.558817388290407E+00, -5.410768310570204E-01
2460569.500000000, A.D. 2024-Sep-16 00:00:00.0000,  1.961020089030850E+00,  4.720778993350605E+00, -4.708587740252369E-01
2460669.500000000, A.D. 2024-Dec-25 00:00:00.0000,  1.449476762167438E+00,  4.778609664021993E+00, -3.770841683581557E-01
2460769.500000000, A.D. 2025-Apr-04 00:00:00.0000,  8.970310758792517E-01,  4.726832250268123E+00, -2.669417056434325E-01
2460869.500000000, A.D. 2025-Jul-13 00:00:00.0000,  3.166045165035493E-01,  4.552648700000682E+00, -1.475527165211462E-01
2460969.500000000, A.D. 2025-Oct-21 00:00:00.0000, -2.756771875809862E-01,  4.238384634457085E+00, -2.313384295397889E-02
2461069.500000000, A.D. 2026-Jan-29 00:00:00.0000, -8.577020642490756E-01,  3.761008549658440E+00,  1.020484597131379E-01
2461169.500000000, A.D. 2026-May-09 00:00:00.0000, -1.394166166974945E+00,  3.089942739677058E+00,  2.214923253605655E-01
2461269.500000000, A.D. 2026-Aug-17 00:00:00.0000, -1.820769588438303E+00,  2.185760545940858E+00,  3.231436279111788E-01
2461369.500000000, A.D. 2026-Nov-25 00:00:00.0000, -2.005914569943371E+00,  1.010632443376843E+00,  3.815074478982242E-01
2461469.500000000, A.D. 2027-Mar-05 00:00:00.0000, -1.671414701409160E+00, -3.831160811856548E-01,  3.402110297390931E-01
2461569.500000000, A.D. 2027-Jun-13 00:00:00.0000, -4.987124629843201E-01, -1.502932635021497E+00,  1.267995250074943E-01
2461669.500000000, A.D. 2027-Sep-21 00:00:00.0000,  1.029273541757487E+00, -1.665291790933209E+00, -1.748824615071725E-01
2461769.500000000, A.D. 2027-Dec-30 00:00:00.0000,  2.223414941865646E+00, -1.162383161336115E+00, -4.221117925403946E-01
2461869.500000000, A.D. 2028-Apr-08 00:00:00.0000,  3.023822932537187E+00, -4.279319728241942E-01, -5.950487049398829E-01
2461969.500000000, A.D. 2028-Jul-17 00:00:00.0000,  3.524723659100259E+00,  3.566154281643424E-01, -7.091707623783021E-01
2462069.500000000, A.D. 2028-Oct-25 00:00:00.0000,  3.802411023894192E+00,  1.121692477462244E+00, -7.784243461849618E-01
2462169.500000000, A.D. 2029-Feb-02 00:00:00.0000,  3.908208017760568E+00,  1.837584076492941E+00, -8.124995903041400E-01
2462269.500000000, A.D. 2029-May-13 00:00:00.0000,  3.876977599070390E+00,  2.489912194858384E+00, -8.180830671819742E-01
2462369.500000000, A.D. 2029-Aug-21 00:00:00.0000,  3.733363259229325E+00,  3.070594143730029E+00, -7.999408870319211E-01
2462469.500000000, A.D. 2029-Nov-29 00:00:00.0000,  3.495561457147453E+00,  3.574166365354703E+00, -7.616031182816073E-01
2462569.500000000, A.D. 2030-Mar-09 00:00:00.0000,  3.177624104451104E+00,  3.996017356082402E+00, -7.057898498127300E-01
2462669.500000000, A.D. 2030-Jun-17 00:00:00.0000,  2.790951363038875E+00,  4.331534555483208E+00, -6.346887229023515E-01
2462769.500000000, A.D. 2030-Sep-25 00:00:00.0000,  2.345247965281126E+00,  4.575469356763796E+00, -5.501459157900519E-01
2462869.500000000, A.D. 2031-Jan-03 00:00:00.0000,  1.849393634158541E+00,  4.721441687578996E+00, -4.538206454381413E-01
2462969.500000000, A.D. 2031-Apr-13 00:00:00.0000,  1.312165794564173E+00,  4.761447074444064E+00, -3.473238723566156E-01
2463069.500000000, A.D. 2031-Jul-22 00:00:00.0000,  7.431502503852052E-01,  4.685210473599188E+00, -2.323856578478909E-01
2463169.500000000, A.D. 2031-Oct-30 00:00:00.0000,  1.539487457586176E-01,  4.479322810622759E+00, -1.110871589629203E-01
2463269.500000000, A.D. 2032-Feb-07 00:00:00.0000, -4.396752130486657E-01,  4.125926831471849E+00,  1.374103243116366E-02
2463369.500000000, A.D. 2032-May-17 00:00:00.0000, -1.013816837529614E+00,  3.601013806470851E+00,  1.377578689485285E-01
2463469.500000000, A.D. 2032-Aug-25 00:00:00.0000, -1.528066084213216E+00,  2.872255481245534E+00,  2.534731679243049E-01
2463569.500000000, A.D. 2032-Dec-03 00:00:00.0000, -1.905859129079098E+00,  1.899090796193023E+00,  3.463301960645968E-01
2463669.500000000, A.D. 2033-Mar-13 00:00:00.0000, -1.986346883186221E+00,  6.525667042698327E-01,  3.847416282371965E-01
2463769.500000000, A.D. 2033-Jun-21 00:00:00.0000, -1.445478422205821E+00, -7.441005263832897E-01,  3.018263794035972E-01
2463869.500000000, A.D. 2033-Sep-29 00:00:00.0000, -8.763844776148982E-02, -1.642755701852106E+00,  4.692751803891809E-02
2463969.500000000, A.D. 2034-Jan-07 00:00:00.0000,  1.387728765307653E+00, -1.570960756111650E+00, -2.488117489069224E-01
2464069.500000000, A.D. 2034-Apr-17 00:00:00.0000,  2.469770990582574E+00, -9.749548860417074E-01, -4.754002367027479E-01
2464169.500000000, A.D. 2034-Jul-26 00:00:00.0000,  3.181008484273956E+00, -2.142635452102133E-01, -6.307973967738552E-01
2464269.500000000, A.D. 2034-Nov-03 00:00:00.0000,  3.616062848135006E+00,  5.711768406911021E-01, -7.311703131747481E-01
2464369.500000000, A.D. 2035-Feb-11 00:00:00.0000,  3.844601008877401E+00,  1.326732907957803E+00, -7.890006783135259E-01
