"Name of Satellite, Alternate Names","Current Official Name of Satellite","Country/Org of UN Registry","Country of Operator/Owner",Operator/Owner,Users,Purpose,"Detailed Purpose","Class of Orbit","Type of Orbit","Longitude of GEO (degrees)","Perigee (km)","Apogee (km)",Eccentricity,"Inclination (degrees)","Period (minutes)","Launch Mass (kg.)","Dry Mass (kg.)","Power (watts)","Date of Launch","Expected Lifetime (yrs.)",Contractor,"Country of Contractor","Launch Site","Launch Vehicle","COSPAR Number","NORAD Number",Comments
"1HOPSAT-TD (1st-generation High Optical Performance Satellite)",1HOPSAT-TD,NR,USA,"Hera Systems",Commercial,"Earth Observation","Infrared Imaging",LEO,"Non-Polar Inclined",0,566,576,0.0007203572972194209,36.9,96.08,22,,,2019/12/11,0.5,"Hera Systems",USA,"Satish Dhawan Space Centre",PSLV,2019-089H,44859,"Pathfinder for planned earth observation constellation."
"Aalto-1 ",Aalto-1,Finland,Finland,"Aalto University",Civil,"Technology Development",,LEO,Sun-Synchronous,0,497,517,0.0014541224371092047,97.45,94.7,4.5,,4.5,2017/06/23,2,"Aalto University",Finland,"Satish Dhawan Space Centre",PSLV,2017-036L,42775,"Technology development and education."
AAUSat-4,AAUSat-4,Denmark,Denmark,"University of Aalborg",Civil,"Earth Observation","Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,442,687,0.01766529670488139,98.2,95.9,1,,,2016/04/25,,"University of Aalborg",Denmark,"Guiana Space Center",Soyuz-2.1a,2016-025E,41460,"Carries AIS system."
"ABS-2 (Koreasat-8, ST-3)",ABS-2,NR,Multinational,"Asia Broadcast Satellite Ltd.",Commercial,Communications,,GEO,,75,35778,35793,0.00017791272787655228,0.08,1436.03,6330,,16000,2014/02/06,15,"Space Systems/Loral",USA,"Guiana Space Center","Ariane 5 ECA",2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam."
ABS-2A,ABS-2A,NR,Multinational,"Asia Broadcast Satellite Ltd.",Commercial,Communications,,GEO,,-75,35700,35700,0,0,1436.1,1800,,,2016/06/15,15,"Boeing Satellite Systems",USA,"Cape Canaveral","Falcon 9",2016-038A,41588,
"ABS-3A ",ABS-3A,NR,Multinational,"Asia Broadcast Satellite Ltd.",Commercial,Communications,,GEO,,-3,35788,35803,0.00017787053396734297,0.1,1436,2000,,,2015/03/02,15,"Boeing Satellite Systems",USA,"Cape Canaveral","Falcon 9",2015-010A,40424,"Coverage of Americas Europe and Africa."
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",ABS-4,NR,Multinational,"Asia Broadcast Satellite Ltd.",Commercial,Communications,,GEO,,75,35780,35793,0.00015418737324018834,0.01,1436.1,4143,1700,7400,2004/03/13,12,"Space Systems/Loral",USA,"Cape Canaveral","Atlas 3",2004-007A,28184,"Purchased by ABS in 2013."
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",ABS-6,NR,Multinational,"Asia Broadcast Satellite Ltd.",Commercial,Communications,,GEO,,159,35777,35794,0.00020163442492675927,0.01,1436.08,2894,1730,"6,800 (EOL)",1999/09/26,15,"Lockheed Martin",USA,"Baikonur Cosmodrome",Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."
"Adelis-Sampson 1","Adelis-Sampson 1",NR,Israel,"Asher Space Research Institute at Technion/Israeli Aircraft Industries",Government,"Technology Development",,LEO,Sun-Synchronous,0,538,561,0.0016619697955054557,97.5,95.5,9,,,2021/03/22,,"Asher Space Research Institute at Technion/Israeli Aircraft Industries",Israel,"Baikonur Cosmodrome",Soyuz-2.1a,2021-022F,47937,"Demonstrate long-term autonomous cluster flight of multiple satellites; determine the position of a cooperative terrestrial emitter."
"Adelis-Sampson 2","Adelis-Sampson 2",NR,Israel,"Asher Space Research Institute at Technion/Israeli Aircraft Industries",Government,"Technology Development",,LEO,Sun-Synchronous,0,539,599,0.00432338953739732,97.5,95.5,9,,,2021/03/22,,"Asher Space Research Institute at Technion/Israeli Aircraft Industries",Israel,"Baikonur Cosmodrome",Soyuz-2.1a,2021-022H,47939,"Demonstrate long-term autonomous cluster flight of multiple satellites; determine the position of a cooperative terrestrial emitter."
