CID,IDSURVEY,zHD,zHDERR,MU_SH0ES
2011fe,51,0.00122,0.00084,28.9987
2011fe,56,0.00122,0.00084,29.0559
2012cg,51,0.00256,0.00084,30.7233
2012cg,56,0.00256,0.00084,30.7449
1994DRichmond,50,0.00299,0.00084,30.7757
1981B,50,0.00317,0.00084,30.7946
2013aa,56,0.00331,0.00085,30.4604
2013aa,5,0.00331,0.00085,30.5528
2017cbv,5,0.00331,0.00085,30.4013
2017cbv,18,0.00331,0.00085,30.5107
2001el,50,0.00333,0.00084,31.5011
2011by,51,0.00349,0.00084,31.7933
1998aq,50,0.00349,0.00084,31.4967
1990N,50,0.00359,0.00084,31.6969
2021pit,56,0.00384,0.00084,30.9999
2005df,50,0.00407,0.00084,31.3933
2005df_ANU,50,0.00407,0.00084,31.3779
2013dy,51,0.00432,0.00084,31.499
2013dy,56,0.00432,0.00084,31.5611
2012ht,56,0.00465,0.00084,31.9309
2012ht,5,0.00465,0.00084,32.033
1980N,50,0.00482,0.00084,31.2476
2012fr,56,0.00483,0.00085,31.1331
2007on,5,0.00483,0.00085,31.6525
2012fr,5,0.00483,0.00085,31.2234
1992A,50,0.00483,0.00085,31.34
2007on,56,0.00483,0.00085,31.7635
2015F,56,0.00488,0.00084,31.4473
2015F,5,0.00488,0.00084,31.539
2011B,56,0.00538,0.00084,31.6512
2018aoz,51,0.00548,0.00085,31.7282
2016coj,51,0.0057,0.00084,31.9117
SN2016coj,150,0.0057,0.00084,31.8985
2007sr,57,0.00571,0.00084,31.6799
2007sr,64,0.00571,0.00084,31.6292
2007gi,50,0.00587,0.00084,31.7403
1994ae,61,0.00588,0.00084,32.1822
2015bp,56,0.00592,0.00084,32.4685
2018gv,18,0.00602,0.00085,31.9404
2018gv,51,0.00602,0.00085,32.0666
2018gv,150,0.00602,0.00085,31.9102
1981D,50,0.00616,0.00084,30.9079
2006dd,50,0.00616,0.00084,31.1857
2007af,57,0.00625,0.00084,32.0667
2007af,56,0.00625,0.00084,32.0023
2007af,5,0.00625,0.00084,32.0999
2007af,64,0.00625,0.00084,32.0337
2007le,57,0.0063,0.00084,32.0754
2007le,5,0.0063,0.00084,32.0843
2007le,65,0.0063,0.00084,32.0203
1998dm,57,0.00631,0.00085,32.8333
2014bv,56,0.00634,0.00085,32.4001
2019np,18,0.00648,0.00084,32.4608
2019np,150,0.00648,0.00084,32.4338
1997br,62,0.00665,0.00085,31.7321
2011iv,5,0.00668,0.00085,31.2217
1995al,61,0.00673,0.00084,32.3593
1996X,61,0.00676,0.00085,31.9733
2017erp,51,0.00677,0.00085,32.1951
2017erp,150,0.00677,0.00085,32.1729
2017erp,18,0.00677,0.00085,32.2048
1992G,50,0.00692,0.00084,32.4405
2005cf,57,0.0071,0.00084,32.3193
2005cf,56,0.0071,0.00084,32.3327
2005cf,64,0.0071,0.00084,32.3221
2002fk,63,0.00719,0.00085,32.4423
2002fk,57,0.00719,0.00085,32.4642
2003du,57,0.00747,0.00084,32.7943
2003du,63,0.00747,0.00084,32.7423
2003du,50,0.00747,0.00084,32.7685
2008Q,57,0.0075,0.00084,32.3312
2008Q,56,0.0075,0.00084,32.2998
2003kf,63,0.00795,0.00084,32.6418
1998dh,57,0.00814,0.00084,32.7164
1998dh,62,0.00814,0.00084,32.6151
2012hr,56,0.00814,0.00084,32.7092
2009ig,56,0.00815,0.00084,32.3711
2009ig,51,0.00815,0.00084,32.7434
2009ig,66,0.00815,0.00084,32.6707
1996Z,61,0.00817,0.00085,32.4455
1995D,61,0.00818,0.00084,32.484
1991M,50,0.00821,0.00084,33.2138
2013gh,51,0.00838,0.00085,32.521
2013gh,56,0.00838,0.00085,32.6922
2001bg,57,0.00855,0.00084,32.6928
2005W,5,0.00855,0.00084,32.852
ASASSN-15so,150,0.00857,0.00084,32.7527
PSNJ0717457,150,0.00861,0.00084,32.7223
2005am,57,0.00863,0.00085,32.3744
2005am,5,0.00863,0.00085,32.3945
2005am,64,0.00863,0.00085,32.335
1997bp,62,0.00864,0.00085,32.4198
2019ein,50,0.00883,0.00084,32.8616
2002er,57,0.00906,0.00084,32.799
2002er,50,0.00906,0.00084,32.7498
2006D,57,0.00925,0.00084,32.8914
2006D,5,0.00925,0.00084,32.8973
2006D,64,0.00925,0.00084,32.9159
2013cs,56,0.00935,0.00084,32.3353
1999cp,57,0.00954,0.00086,33.0399
1999cp,50,0.00954,0.00086,33.2135
2002cr,57,0.00954,0.00086,33.2309
2002cr,63,0.00954,0.00086,33.2469
2002dj,57,0.00957,0.00087,32.901
2002dj,63,0.00957,0.00087,32.8654
1998es,62,0.00966,0.00086,32.8029
