#Data file for sc_fluxbyenergy_Rband_v2
#Created on 05-Nov-2014
Energy	Imps_per_Year	Energy_err	Y_err	En_Low	En_High 

9.789406533384686e-06	234455.1065809933	3.744912461286719e-06	51834.79492969947	8.449835482676413e-06	2.020513345632889e-05
1.468410980007703e-05	174626.3262193721	4.77465112483635e-06	37917.94614853646	1.248799151272217e-05	2.844008307156887e-05
2.202616470011555e-05	128890.8598285842	8.231354481096174e-06	27987.05549058644	1.896898105513281e-05	4.503006246784879e-05
2.936821960015406e-05	102835.9850270628	1.245753673253713e-05	21767.46762383618	2.562050127220715e-05	6.332534861076575e-05
3.671027450019257e-05	94925.52464036568	1.54080488769369e-05	20093.04703738724	3.198930953270359e-05	7.879351518790377e-05
4.894703266692344e-05	72955.57577843599	1.766871669426839e-05	15656.01696287822	4.201518260766247e-05	9.868571922444837e-05
7.342054900038515e-05	48715.84283387513	2.541073503388533e-05	10393.0431824642	6.278069127659541e-05	0.0001456077524876897
9.789406533384688e-05	22484.23515409622	3.323438916954669e-05	4796.789161137322	8.356429193929628e-05	0.0001927107056886102
0.0001468410980007703	14864.17463980324	6.835434117630718e-05	3170.299915189444	0.0001294469892379937	0.0003300715718234077
0.0001957881306676938	7184.629098077002	0.0001647865977584573	1530.815404718068	0.0001889176208256055	0.0006033117808473501
