"display_name","dimensions"
"Pedro Castelar Báez","Plate 10 3/16 x 13 11/16"" (25.9 x 34.8 cm)Sheet 12 5/16 x 16 11/16"" (31.2 x 42.3 cm)"
"David Octavius Hill","3 1/2 x 4 9/16"" (8.9 x 11.6 cm)"
"Alfred Capel Cure","7 15/16 x 10 3/16"" (20.1 x 27.2 cm)"
"Alfred Capel Cure","9 1/4 x 6 13/16"" (23.2 x 17.3 cm)"
"Robert Emmett Müller","composition: 7 7/16 x 20 3/8"" (18.9 x 51.7cm); sheet: 11 3/4 x 24"" (29.8 x 61cm)"
"David Octavius Hill","6 3/16 x 4 7/16"" (15.7 x 11.2 cm)"
"James Wallace Black","8 3/8 x 6 9/16"" (21.2 x 16.7 cm)"
"Komar and Melamid","composition  12 x 10"" (30.5 x 25.4 cm)
sheet  12 x 10"" (30 x 25.4 cm)"
"Friedrich Karl Gotsch","composition (irreg.): 14 3/4 x 8 1/4"" (37.5 x 20.9 cm); sheet: 23 9/16 x 18"" (59.8 x 45.7 cm)"
"Frances Benjamin Johnston","7 9/16 x 9 1/2"" (19.2 x 24.2 cm)"
"Francis Edmund Currey","6 1/4 x 8 1/8"" (15.9 x 20.7 cm)"
"Jérôme De Perlinghi","10 1/4 x 15 1/2"" (26 x 39.4 cm)"
"Julia Margaret Cameron","10 1/2 x 8 1/4"" (26.7 x 21 cm)"
"Underwood and Underwood","7 1/16 x 9 5/16"" (18 x 23.7 cm)"
"Andrew Joseph Russell","8 3/4 x 11 5/8"" (22.2 x 29.5 cm)"
"Frances Benjamin Johnston","7 1/2 x 9 1/2"" (19 x 24.2 cm)"
"José Luis Cuevas","composition (irreg.): 11 1/8 x 8 1/16"" (28.3 x 20.5cm); sheet: 15 x 11 1/8"" (38.1 x 28.2cm)"
"Frances Benjamin Johnston","7 9/16 x 9 1/2"" (19.2 x 24.2 cm)"
"Anna Maria Maiolino","12 3/8 x 8 5/8"" (31.4 x 21.9 cm)"
"David Octavius Hill","7 5/16 x 9 13/16"" (18.6 x 25 cm)"
"Harold Eugene Edgerton","7 9/16 x 9 1/2"" (19.3 x 24.1 cm)"
"Juan Antonio Roda","composition: 13 3/8 x 19 1/2"" (33.9 x 49.6 cm); sheet (irreg.): 22 5/16 x 29 5/8"" (56.6 x 75.3 cm)"
"Edward Gordon Craig","composition: 10 5/16 x 3 9/16"" (26.2 x 9 cm); sheet: 16 1/8 x 10 7/16"" (40.9 x 26.5 cm)"
"David Octavius Hill","6 1/8 x 4 1/2"" (15.6 x 11.5 cm)"
